build_id,image_name,implementation,width,height,bit_depth,is_grayscale,histogram_us,scan_us,norm_scale_us,h2d_us,h2d_bytes,d2h_us,d2h_bytes
1776697866,cars_16b.png,optimized.cl,370,415,16,false,313,2240,4,75,921300,70,921300
1776697866,lamp_16b.png,naive.cl,450,500,16,false,57,2241,13578,108,1350000,105,1350000
1776697866,lamp_16b.png,optimized.cl,450,500,16,false,477,2241,4,108,1350000,105,1350000
1776697866,land_16b.png,naive.cl,1039,789,16,false,58,2241,13597,398,4918626,728,4918626
1776697866,land_16b.png,optimized.cl,1039,789,16,false,1333,2241,4,398,4918626,801,4918626
1776697866,robot_16b.png,naive.cl,450,450,16,false,26,2241,13368,97,1215000,94,1215000
1776697866,robot_16b.png,optimized.cl,450,450,16,false,385,2240,4,96,1215000,95,1215000
1776697868,test_16b.png,naive.cl,1024,683,16,true,40,2240,10252,113,1398784,109,1398784
1776697868,test_16b.png,optimized.cl,1024,683,16,true,1217,2240,4,113,1398784,108,1398784
1776697868,moon_16bit.png,naive.cl,560,420,16,false,16,2242,13340,114,1411200,109,1411200
1776697868,moon_16bit.png,optimized.cl,560,420,16,false,461,2241,4,111,1411200,110,1411200
1776697868,wires_16b.png,naive.cl,326,326,16,false,11,2241,13364,51,637656,49,637656
1776697868,wires_16b.png,optimized.cl,326,326,16,false,261,2241,4,53,637656,49,637656
1776697868,color_gradient_16bit.png,naive.cl,512,512,16,false,19,2199,12132,126,1572864,121,1572864
1776697868,color_gradient_16bit.png,optimized.cl,512,512,16,false,447,2200,4,126,1572864,122,1572864
1776697868,building_16b.png,naive.cl,720,680,16,false,34,2199,13230,234,2937600,318,2937600
1776697868,building_16b.png,optimized.cl,720,680,16,false,815,2199,3,231,2937600,474,2937600
1776697868,paint_16b.png,naive.cl,500,375,16,false,11,2199,12564,90,1125000,88,1125000
1776697868,paint_16b.png,optimized.cl,500,375,16,false,398,2199,4,90,1125000,88,1125000
1776697868,cars_16b.png,naive.cl,370,415,16,false,10,2200,12787,74,921300,70,921300
1776697868,cars_16b.png,optimized.cl,370,415,16,false,300,2200,3,75,921300,70,921300
1776697868,lamp_16b.png,naive.cl,450,500,16,false,56,2200,13319,108,1350000,105,1350000
1776697868,lamp_16b.png,optimized.cl,450,500,16,false,459,2200,4,108,1350000,105,1350000
1776697868,land_16b.png,naive.cl,1039,789,16,false,57,2200,13337,403,4918626,680,4918626
1776697868,land_16b.png,optimized.cl,1039,789,16,false,1313,2199,4,405,4918626,674,4918626
1776697868,robot_16b.png,naive.cl,450,450,16,false,26,2200,13115,96,1215000,95,1215000
1776697868,robot_16b.png,optimized.cl,450,450,16,false,383,2200,4,96,1215000,95,1215000
1776697870,test_16b.png,naive.cl,1024,683,16,true,40,2199,10058,113,1398784,108,1398784
1776697870,test_16b.png,optimized.cl,1024,683,16,true,1203,2200,4,114,1398784,108,1398784
1776697870,moon_16bit.png,naive.cl,560,420,16,false,16,2199,13084,111,1411200,109,1411200
1776697870,moon_16bit.png,optimized.cl,560,420,16,false,451,2200,4,112,1411200,109,1411200
1776697870,wires_16b.png,naive.cl,326,326,16,false,11,2200,13109,51,637656,49,637656
1776697870,wires_16b.png,optimized.cl,326,326,16,false,256,2200,4,55,637656,49,637656
1776697870,color_gradient_16bit.png,naive.cl,512,512,16,false,19,2199,12133,125,1572864,122,1572864
1776697870,color_gradient_16bit.png,optimized.cl,512,512,16,false,445,2200,3,126,1572864,122,1572864
1776697870,building_16b.png,naive.cl,720,680,16,false,34,2200,13229,231,2937600,392,2937600
1776697870,building_16b.png,optimized.cl,720,680,16,false,830,2241,4,231,2937600,382,2937600
1776697870,paint_16b.png,naive.cl,500,375,16,false,11,2241,12809,90,1125000,88,1125000
1776697870,paint_16b.png,optimized.cl,500,375,16,false,401,2241,4,92,1125000,88,1125000
1776697870,cars_16b.png,naive.cl,370,415,16,false,10,2241,13035,75,921300,70,921300
1776697870,cars_16b.png,optimized.cl,370,415,16,false,313,2241,4,75,921300,70,921300
1776697870,lamp_16b.png,naive.cl,450,500,16,false,57,2241,13577,108,1350000,105,1350000
1776697870,lamp_16b.png,optimized.cl,450,500,16,false,466,2241,4,108,1350000,105,1350000
1776697870,land_16b.png,naive.cl,1039,789,16,false,59,2241,13597,398,4918626,684,4918626
1776697870,land_16b.png,optimized.cl,1039,789,16,false,1330,2241,4,399,4918626,635,4918626
1776697870,robot_16b.png,naive.cl,450,450,16,false,27,2241,13368,97,1215000,95,1215000
1776697870,robot_16b.png,optimized.cl,450,450,16,false,383,2242,4,96,1215000,95,1215000
1776697871,test_16b.png,naive.cl,1024,683,16,true,40,2240,10251,115,1398784,108,1398784
1776697871,test_16b.png,optimized.cl,1024,683,16,true,1220,2241,4,118,1398784,108,1398784
1776697871,moon_16bit.png,naive.cl,560,420,16,false,15,2241,13340,111,1411200,109,1411200
1776697871,moon_16bit.png,optimized.cl,560,420,16,false,465,2242,4,114,1411200,110,1411200
1776697871,wires_16b.png,naive.cl,326,326,16,false,10,2241,13365,52,637656,49,637656
1776697871,wires_16b.png,optimized.cl,326,326,16,false,267,2241,4,53,637656,49,637656
1776697871,color_gradient_16bit.png,naive.cl,512,512,16,false,22,2242,12369,126,1572864,121,1572864
1776697871,color_gradient_16bit.png,optimized.cl,512,512,16,false,451,2241,4,124,1572864,122,1572864
1776697871,building_16b.png,naive.cl,720,680,16,false,35,2241,13487,231,2937600,484,2937600
1776697871,building_16b.png,optimized.cl,720,680,16,false,834,2242,4,233,2937600,326,2937600
1776697871,paint_16b.png,naive.cl,500,375,16,false,16,2245,12812,90,1125000,111,1125000
1776697871,paint_16b.png,optimized.cl,500,375,16,false,399,2241,4,92,1125000,88,1125000
1776697871,cars_16b.png,naive.cl,370,415,16,false,10,2241,13035,75,921300,70,921300
1776697871,cars_16b.png,optimized.cl,370,415,16,false,315,2243,5,75,921300,70,921300
